Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,66,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,78,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,27,3
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,4
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,97,5
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,6
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,7
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,96,8
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,9
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,47,11
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,51,12
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,70,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,85,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,3
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,32,4
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,114,5
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,6
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,7
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,112,8
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,9
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,41,11
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,12
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,92,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,152,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,56,3
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,36,4
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,144,5
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,41,6
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,49,7
