Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX,EDAT_Q,SEXE
2026-01-01,1,Ciutat Vella,1,el Raval,813,1,0,1
2026-01-01,1,Ciutat Vella,1,el Raval,851,1,0,2
2026-01-01,1,Ciutat Vella,1,el Raval,648,1,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,726,1,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,526,1,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,591,1,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,519,1,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,537,1,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,376,1,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,383,1,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,251,1,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,265,1,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,184,1,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,217,1,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,161,1,7,1
2026-01-01,1,Ciutat Vella,1,el Raval,218,1,7,2
2026-01-01,1,Ciutat Vella,1,el Raval,153,1,8,1
2026-01-01,1,Ciutat Vella,1,el Raval,178,1,8,2
2026-01-01,1,Ciutat Vella,1,el Raval,192,1,9,1
2026-01-01,1,Ciutat Vella,1,el Raval,234,1,9,2
2026-01-01,1,Ciutat Vella,1,el Raval,268,1,10,1
2026-01-01,1,Ciutat Vella,1,el Raval,314,1,10,2
2026-01-01,1,Ciutat Vella,1,el Raval,287,1,11,1
2026-01-01,1,Ciutat Vella,1,el Raval,324,1,11,2
2026-01-01,1,Ciutat Vella,1,el Raval,287,1,12,1
2026-01-01,1,Ciutat Vella,1,el Raval,281,1,12,2
2026-01-01,1,Ciutat Vella,1,el Raval,219,1,13,1
2026-01-01,1,Ciutat Vella,1,el Raval,233,1,13,2
2026-01-01,1,Ciutat Vella,1,el Raval,168,1,14,1
2026-01-01,1,Ciutat Vella,1,el Raval,150,1,14,2
2026-01-01,1,Ciutat Vella,1,el Raval,162,1,15,1
2026-01-01,1,Ciutat Vella,1,el Raval,138,1,15,2
2026-01-01,1,Ciutat Vella,1,el Raval,130,1,16,1
2026-01-01,1,Ciutat Vella,1,el Raval,84,1,16,2
2026-01-01,1,Ciutat Vella,1,el Raval,104,1,17,1
2026-01-01,1,Ciutat Vella,1,el Raval,52,1,17,2
2026-01-01,1,Ciutat Vella,1,el Raval,87,1,18,1
2026-01-01,1,Ciutat Vella,1,el Raval,21,1,18,2
2026-01-01,1,Ciutat Vella,1,el Raval,18,1,19,1
2026-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1,20,1
2026-01-01,1,Ciutat Vella,1,el Raval,81,2,0,1
2026-01-01,1,Ciutat Vella,1,el Raval,94,2,0,2
2026-01-01,1,Ciutat Vella,1,el Raval,57,2,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,66,2,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,56,2,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,58,2,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,59,2,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,51,2,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,72,2,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,38,2,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,83,2,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,57,2,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,90,2,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,93,2,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,61,2,7,1
2026-01-01,1,Ciutat Vella,1,el Raval,62,2,7,2
2026-01-01,1,Ciutat Vella,1,el Raval,43,2,8,1
2026-01-01,1,Ciutat Vella,1,el Raval,68,2,8,2
2026-01-01,1,Ciutat Vella,1,el Raval,46,2,9,1
2026-01-01,1,Ciutat Vella,1,el Raval,70,2,9,2
2026-01-01,1,Ciutat Vella,1,el Raval,66,2,10,1
2026-01-01,1,Ciutat Vella,1,el Raval,61,2,10,2
2026-01-01,1,Ciutat Vella,1,el Raval,65,2,11,1
2026-01-01,1,Ciutat Vella,1,el Raval,66,2,11,2
2026-01-01,1,Ciutat Vella,1,el Raval,44,2,12,1
2026-01-01,1,Ciutat Vella,1,el Raval,53,2,12,2
2026-01-01,1,Ciutat Vella,1,el Raval,42,2,13,1
2026-01-01,1,Ciutat Vella,1,el Raval,46,2,13,2
2026-01-01,1,Ciutat Vella,1,el Raval,40,2,14,1
2026-01-01,1,Ciutat Vella,1,el Raval,33,2,14,2
2026-01-01,1,Ciutat Vella,1,el Raval,36,2,15,1
2026-01-01,1,Ciutat Vella,1,el Raval,20,2,15,2
2026-01-01,1,Ciutat Vella,1,el Raval,22,2,16,1
2026-01-01,1,Ciutat Vella,1,el Raval,22,2,16,2
2026-01-01,1,Ciutat Vella,1,el Raval,18,2,17,1
2026-01-01,1,Ciutat Vella,1,el Raval,17,2,17,2
2026-01-01,1,Ciutat Vella,1,el Raval,24,2,18,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,2,18,2
2026-01-01,1,Ciutat Vella,1,el Raval,11,2,19,1
2026-01-01,1,Ciutat Vella,1,el Raval,..,2,19,2
2026-01-01,1,Ciutat Vella,1,el Raval,..,2,20,1
2026-01-01,1,Ciutat Vella,1,el Raval,..,2,20,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,3,0,1
2026-01-01,1,Ciutat Vella,1,el Raval,12,3,0,2
2026-01-01,1,Ciutat Vella,1,el Raval,21,3,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,13,3,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,15,3,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,22,3,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,15,3,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,24,3,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,36,3,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,28,3,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,87,3,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,77,3,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,103,3,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,143,3,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,114,3,7,1
2026-01-01,1,Ciutat Vella,1,el Raval,137,3,7,2
2026-01-01,1,Ciutat Vella,1,el Raval,86,3,8,1
2026-01-01,1,Ciutat Vella,1,el Raval,107,3,8,2
2026-01-01,1,Ciutat Vella,1,el Raval,84,3,9,1
2026-01-01,1,Ciutat Vella,1,el Raval,134,3,9,2
2026-01-01,1,Ciutat Vella,1,el Raval,73,3,10,1
2026-01-01,1,Ciutat Vella,1,el Raval,92,3,10,2
2026-01-01,1,Ciutat Vella,1,el Raval,86,3,11,1
2026-01-01,1,Ciutat Vella,1,el Raval,128,3,11,2
2026-01-01,1,Ciutat Vella,1,el Raval,105,3,12,1
2026-01-01,1,Ciutat Vella,1,el Raval,105,3,12,2
2026-01-01,1,Ciutat Vella,1,el Raval,140,3,13,1
2026-01-01,1,Ciutat Vella,1,el Raval,139,3,13,2
2026-01-01,1,Ciutat Vella,1,el Raval,165,3,14,1
2026-01-01,1,Ciutat Vella,1,el Raval,128,3,14,2
2026-01-01,1,Ciutat Vella,1,el Raval,168,3,15,1
2026-01-01,1,Ciutat Vella,1,el Raval,116,3,15,2
2026-01-01,1,Ciutat Vella,1,el Raval,150,3,16,1
2026-01-01,1,Ciutat Vella,1,el Raval,118,3,16,2
2026-01-01,1,Ciutat Vella,1,el Raval,115,3,17,1
2026-01-01,1,Ciutat Vella,1,el Raval,72,3,17,2
2026-01-01,1,Ciutat Vella,1,el Raval,94,3,18,1
2026-01-01,1,Ciutat Vella,1,el Raval,33,3,18,2
2026-01-01,1,Ciutat Vella,1,el Raval,25,3,19,1
