Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,158,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,171,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,82,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,60,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,364,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,405,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,128,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,140,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,41,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,78,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,358,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,1,1002,488,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,463,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,498,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,163,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,168,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,128,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,146,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,92,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,86,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,985,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1003,1100,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,378,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,349,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,53,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,67,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,126,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,147,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,101,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,162,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,719,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,992,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,332,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,300,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,46,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,51,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,94,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,109,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,120,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,118,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,562,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,850,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,166,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,198,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,31,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,41,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,66,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,60,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,97,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,77,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,470,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,637,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,204,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,265,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,34,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,30,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,64,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,58,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,76,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,73,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,505,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,902,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,361,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,404,1,2
